"BehaviorSpace results (NetLogo 6.1.0)"
"p-n-junction-global-potential-MD.nlogo"
"experiment"
"08/13/2019 13:45:13:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","20","-9","10"
"[run number]","n-doping%","temperature","p-doping%","bias","current-delay","EHP-formation-energy","[step]","ticks - current-delay","time-sum-built-in-potential","charge-flow","bias","time-sum-built-in-potential / (ticks / time-step)","bias","charge-flow / (ticks - current-delay)"
"2","1","1","1","2.2","50","15","2000","349.99999999998585","5227.0158778034875","7330","2.2","2.6135079389018365","2.2","20.94285714285799"
"1","1","1","1","2.1","50","15","2000","349.99999999998585","5019.104481103786","6910","2.1","2.509552240551982","2.1","19.74285714285794"
"3","1","1","1","2.3","50","15","2000","349.99999999998585","5272.682214486261","7365","2.3","2.636341107243224","2.3","21.042857142857994"
"4","1","1","1","2.4","50","15","2000","349.99999999998585","5416.846951184303","8001","2.4","2.7084234755922476","2.4","22.860000000000923"
"6","1","1","1","2.6","50","15","2000","349.99999999998585","5964.661531185987","8401","2.6","2.9823307655930993","2.6","24.002857142858115"
"5","1","1","1","2.5","50","15","2000","349.99999999998585","5620.559274074239","8208","2.5","2.810279637037219","2.5","23.45142857142952"
"8","1","1","1","2.8","50","15","2000","349.99999999998585","6177.633202473695","8980","2.8","3.088816601236957","2.8","25.657142857143896"
"7","1","1","1","2.7","50","15","2000","349.99999999998585","5889.209684949272","8729","2.7","2.94460484247474","2.7","24.94000000000101"
"10","1","1","1","3","50","15","2000","349.99999999998585","6352.413195693697","9548","3","3.1762065978469614","3","27.280000000001102"
"9","1","1","1","2.9","50","15","2000","349.99999999998585","6173.719974287808","9308","2.9","3.0868599871440137","2.9","26.59428571428679"
"12","1","1","1","3.2","50","15","2000","349.99999999998585","6554.2580579123305","10248","3.2","3.2771290289562813","3.2","29.280000000001184"
"11","1","1","1","3.1","50","15","2000","349.99999999998585","6585.914027440186","9930","3.1","3.2929570137202098","3.1","28.371428571429718"
"13","1","1","1","3.3","50","15","2000","349.99999999998585","6522.413713117816","10390","3.3","3.2612068565590238","3.3","29.685714285715488"
"14","1","1","1","3.4","50","15","2000","349.99999999998585","6743.787227145798","10588","3.4","3.3718936135730186","3.4","30.251428571429795"
"15","1","1","1","3.5","50","15","2000","349.99999999998585","6879.732756345788","11029","3.5","3.4398663781730163","3.5","31.511428571429846"
"16","1","1","1","3.6","50","15","2000","349.99999999998585","6891.611064229337","11350","3.6","3.445805532114791","3.6","32.42857142857274"
"17","1","1","1","3.7","50","15","2000","349.99999999998585","7133.035761463234","11555","3.7","3.5665178807317437","3.7","33.01428571428705"
"18","1","1","1","3.8","50","15","2000","349.99999999998585","7092.024900662261","11731","3.8","3.546012450331256","3.8","33.517142857144215"
"19","1","1","1","3.9","50","15","2000","349.99999999998585","7103.729649610495","12083","3.9","3.5518648248053735","3.9","34.52285714285854"
"20","1","1","1","4","50","15","2000","349.99999999998585","7379.139819250437","12182","4","3.6895699096253494","4","34.805714285715695"
